image_loc,smooth-or-featured_smooth_pred,smooth-or-featured_featured-or-disk_pred,smooth-or-featured_artifact_pred,disk-edge-on_yes_pred,disk-edge-on_no_pred,has-spiral-arms_yes_pred,has-spiral-arms_no_pred,bar_strong_pred,bar_weak_pred,bar_no_pred,bulge-size_dominant_pred,bulge-size_large_pred,bulge-size_moderate_pred,bulge-size_small_pred,bulge-size_none_pred,how-rounded_round_pred,how-rounded_in-between_pred,how-rounded_cigar-shaped_pred,edge-on-bulge_boxy_pred,edge-on-bulge_none_pred,edge-on-bulge_rounded_pred,spiral-winding_tight_pred,spiral-winding_medium_pred,spiral-winding_loose_pred,spiral-arm-count_1_pred,spiral-arm-count_2_pred,spiral-arm-count_3_pred,spiral-arm-count_4_pred,spiral-arm-count_more-than-4_pred,spiral-arm-count_cant-tell_pred,merging_none_pred,merging_minor-disturbance_pred,merging_major-disturbance_pred,merging_merger_pred
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000614.40+042526.0.png,50.03894806,27.26782608,8.555290222,19.33691978,5.554601192,1.608213544,24.0630703,1.561059475,4.358925819,32.48379898,1.718403101,10.20063496,30.37615204,8.626256943,1.589016199,1.050301075,18.52863884,22.51067352,1.583973408,3.417401314,69.26519775,7.951378822,5.106770992,3.054237604,2.326427937,31.4392643,5.291015625,3.544600964,2.01791954,18.27244377,84.60075378,6.25701046,1.186610103,1.192269564
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000614.88+004523.2.png,6.140116215,31.75248909,3.209914207,1.436931491,91.56645966,18.37715721,1.779836893,2.748177052,10.12673664,7.251857281,1.139417887,6.405012608,20.80838394,29.02163696,24.15011215,27.28396225,14.2882576,1.046429873,7.509134769,7.685872555,17.84306335,5.086432457,12.64771748,9.28318119,3.798607111,80.8429718,1.263620496,1.002957225,1.000088811,4.960461617,43.70378876,13.17717171,5.66695118,1.254577637
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000614.90+010226.7.png,68.50541687,11.77497768,9.39796257,5.851418972,28.21857071,1.409979582,17.4984436,1.115475535,3.160168886,58.32566833,1.79526639,24.49757004,32.24026108,5.925231457,1.28775382,1.728771806,57.60455704,1.43432951,1.965534449,5.791314602,59.84008408,8.382089615,4.767457008,2.779438496,2.441056967,28.31227493,1.809991121,1.288827777,1.177961946,24.94433403,77.43894958,8.056221008,1.227735281,1.054102182
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000615.42-045514.3.png,15.87576675,8.608642578,1.963571787,8.632593155,2.678915024,2.620860338,1.711748838,1.149174333,3.671489954,8.789991379,1.027439237,1.267660379,9.048757553,26.42827415,5.409038067,1.004544139,7.494519711,68.4176178,1.084754229,7.147922039,4.948786736,7.080263615,3.244669676,1.577415824,1.221248865,17.89244652,1.501757622,1.089623094,1.004521847,23.13578987,79.03098297,4.968747139,1.014229894,1.030167222
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000616.18-020847.4.png,3.094032049,1.629980087,9.329712868,1.072665215,14.95105553,1.129264235,1.440959692,1.021402717,1.347402811,7.03112936,1.218725681,6.081079006,8.601129532,2.087786198,1.359116673,8.629135132,4.067627907,1.001150131,1.187535763,1.419240952,5.680128098,2.546515703,1.89264977,1.448733687,2.000635147,15.20976543,1.077144265,1.001410127,1.000497818,7.580825329,6.194106579,1.28503561,1.032457232,1.340786934
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000616.24-071133.6.png,26.79079819,5.104338169,2.174152374,3.982234955,20.03253365,2.790221453,1.912530065,1.086455226,5.253757477,16.89585495,1.026627302,1.428521991,12.22555256,30.28217125,9.581976891,1.030572176,57.73406219,13.74289227,1.264430046,8.26164341,6.766205788,8.247997284,3.717349052,1.907545567,1.135654092,15.13722801,1.610373259,1.031192422,1.001469731,22.13672447,62.84194565,5.587759972,1.026747346,1.033375621
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000617.12+135426.7.png,5.713050842,78.67227173,3.228479862,85.28432465,1.100618601,1.713397145,5.21402359,2.678592205,4.4550457,7.17736721,1.208264828,2.036560774,11.13930607,13.95832062,2.167757988,1.191355109,1.618048906,38.73651886,1.35109365,1.461730242,24.55725861,3.550422192,2.771073818,3.284557104,1.212121487,7.650082111,3.424995184,9.657452583,5.354453087,3.935154438,73.71952057,5.701439381,1.034336329,1.32231307
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000617.34+002741.0.png,80.24137878,20.11323547,8.697498322,7.499319553,13.20517921,2.092316628,28.64752579,1.392956495,3.301046371,54.24996185,2.561281681,26.63840485,41.74783325,6.792653084,1.599714756,1.749825716,19.54394913,4.530103683,3.691686869,3.983834505,64.61779022,7.790015221,5.63265276,3.66252017,2.94783926,16.60120773,4.034588814,2.395230293,1.812802196,19.96650696,42.58404541,6.44113493,2.349035501,1.271622419
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000617.52-004055.8.png,25.62789536,26.44013023,3.909615517,10.54608059,2.966101646,1.372007489,8.939038277,1.474331737,4.122518539,28.16098976,1.257027745,7.432309628,23.84466934,8.056839943,2.344592333,1.085417986,16.96770477,14.70367241,1.69568181,1.415454149,45.60235214,7.21651125,3.924053192,2.436378002,2.594206333,51.28217316,2.46211648,1.347007513,1.159782887,29.57004356,12.52980137,2.06964016,1.007416964,4.756978035
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000617.55+010127.5.png,23.78638458,32.36981201,3.044905901,21.2270031,2.607159138,3.610464096,4.656431675,1.403795719,5.324896336,19.51027489,1.064851761,1.271604538,8.8026371,36.26716995,12.39004707,1.066167355,3.205610752,71.29100037,1.395027637,9.509181023,6.291764259,11.83784294,5.763070107,2.480420113,2.632376671,18.43202782,2.303369045,2.210713148,1.121320486,34.21147537,54.49036407,8.155768394,1.112166047,1.192009687
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000617.65+134302.9.png,8.981481552,13.91526222,13.73854065,2.013104916,5.851021767,1.53123641,10.01030254,1.414105296,2.608381033,27.82115364,1.021914005,1.440924883,3.093955517,6.642830849,65.05654907,1.158249617,12.47486877,14.90692425,1.832668304,4.290561676,3.890017509,2.348752975,3.585516453,13.05354214,11.57095432,31.46811485,2.041992188,1.295507908,1.018122792,15.44008923,12.96440887,5.947324276,9.187824249,2.091624022
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000617.71-035741.5.png,6.567576885,39.21708679,1.952690721,3.727151394,64.60025024,14.9025507,1.481218576,1.842006922,10.80635834,9.935027122,1.067862988,5.092684746,51.36917496,45.64422607,2.501922131,1.615730643,36.6129303,4.506184578,2.973209858,8.36690712,37.15077591,13.16388988,11.48697281,3.212862253,2.04072094,57.66173553,1.474983454,1.013448358,1.000105262,7.212163925,39.95837021,6.73853159,1.375867605,1.212777853
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000617.94+022444.2.png,55.38454056,5.885893345,32.91793823,4.131280422,37.23185349,1.150972366,16.8441906,1.44497776,2.05710721,22.19710159,6.557946682,17.79811096,23.87386131,4.934900761,1.295527697,92.17745209,5.563686371,1.000962973,4.079277515,3.040690899,37.39785004,7.418672085,7.66069603,3.01591897,1.406103611,9.632065773,2.63225174,1.437137127,2.502407312,9.451569557,71.70771027,3.454595566,1.092877984,1.187405705
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000619.06+134543.1.png,80.51469421,10.78258514,10.78334045,6.611793518,16.16220093,1.687408209,26.45042038,1.262511373,2.838418007,56.43152618,3.173270464,38.02891922,22.85474586,6.494922161,2.059072018,2.09356761,31.91272736,2.596615314,3.370611429,4.47487545,54.043293,7.8866992,5.131701946,3.569083691,2.344479084,10.94526577,2.557258129,2.182433605,2.406570911,21.43637276,83.90616608,8.798894882,1.820343733,1.054405093
